,S. No.,Message_body,Label
139,140.0,If I was I wasn't paying attention,Non-Spam
140,141.0,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",Non-Spam
141,142.0,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Non-Spam
142,143.0,You didnt complete your gist oh.,Non-Spam
144,145.0,Oh yeah! And my diet just flew out the window,Non-Spam
145,146.0,Otherwise had part time job na-tuition..,Non-Spam
146,147.0,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,Non-Spam
147,148.0,"Sorry, I'll call later",Non-Spam
148,149.0,Ok k..sry i knw 2 siva..tats y i askd..,Non-Spam
149,150.0,"Hi elaine, is today's meeting confirmed?",Non-Spam
150,151.0,I dont know oh. Hopefully this month.,Non-Spam
151,152.0,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),Non-Spam
152,153.0,So how are you really. What are you up to. How's the masters. And so on.,Non-Spam
153,154.0,Nope. I just forgot. Will show next week,Non-Spam
154,155.0,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,Non-Spam
155,156.0,You should get more chicken broth if you want ramen unless there's some I don't know about,Non-Spam
156,157.0,East coast,Non-Spam
157,158.0,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,Non-Spam
158,159.0,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,Non-Spam
159,160.0,I ask if u meeting da ge tmr nite...,Non-Spam
160,161.0,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Non-Spam
161,162.0,There is a first time for everything :),Non-Spam
162,163.0,... Are you in the pub?,Non-Spam
163,164.0,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,Non-Spam
164,165.0,Dear are you angry i was busy dear,Non-Spam
165,166.0,So how many days since then?,Non-Spam
166,167.0,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,Non-Spam
167,168.0,So gd got free ice cream... I oso wan...,Non-Spam
168,169.0,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,Non-Spam
169,170.0,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Non-Spam
170,171.0,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,Non-Spam
171,172.0,And he's apparently bffs with carly quick now,Non-Spam
172,173.0,Hi. Hope you had a good day. Have a better night.,Non-Spam
173,174.0,That's necessarily respectful,Non-Spam
174,175.0,As in i want custom officer discount oh.,Non-Spam
175,176.0,Dunno lei shd b driving lor cos i go sch 1 hr oni.,Non-Spam
176,177.0,I dont know exactly could you ask chechi.,Non-Spam
177,178.0,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",Non-Spam
178,179.0,Ooooooh I forgot to tell u I can get on yoville on my phone,Non-Spam
179,180.0,Watching ajith film ah?,Non-Spam
180,181.0,Nt joking seriously i told,Non-Spam
181,182.0,Ok.ok ok..then..whats ur todays plan,Non-Spam
182,183.0,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Non-Spam
183,184.0,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,Non-Spam
184,185.0,I'm at work. Please call,Non-Spam
185,186.0,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,Non-Spam
186,187.0,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I’m knackered and i’m dreading work tonight. What are thou upto tonight. X,Non-Spam
187,188.0,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,Non-Spam
188,189.0,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",Non-Spam
190,191.0,Its sunny in california. The weather's just cool,Non-Spam
191,192.0,Somebody set up a website where you can play hold em using eve online spacebucks,Non-Spam
194,195.0,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Non-Spam
195,196.0,I cant pick the phone right now. Pls send a message,Non-Spam
196,197.0,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Non-Spam
197,198.0,"K I'll head out in a few mins, see you there",Non-Spam
198,199.0,"Ok., is any problem to u frm him? Wats matter?",Non-Spam
199,200.0,"Lol, oh you got a friend for the dog ?",Non-Spam
201,202.0,Hi mom we might be back later than  &lt;#&gt; ,Non-Spam
203,204.0,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,Non-Spam
206,207.0,"I think your mentor is , but not 100 percent sure.",Non-Spam
207,208.0,I'm in inside office..still filling forms.don know when they leave me.,Non-Spam
208,209.0,Yep get with the program. You're slacking.,Non-Spam
209,210.0,"Hey, iouri gave me your number, I'm wylie, ryan's friend",Non-Spam
210,211.0,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,Non-Spam
211,212.0,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Non-Spam
212,213.0,Ok,Non-Spam
213,214.0,Tell me something. Thats okay.,Non-Spam
214,215.0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",Non-Spam
215,216.0,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,Non-Spam
216,217.0,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,Non-Spam
217,218.0,Good morning princess! Have a great day!,Non-Spam
218,219.0,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,Non-Spam
219,220.0,No one interested. May be some business plan.,Non-Spam
220,221.0,I'm home...,Non-Spam
221,222.0,Do I? I thought I put it back in the box,Non-Spam
222,223.0,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,Non-Spam
223,224.0,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",Non-Spam
224,225.0,Wat ü doing now?,Non-Spam
225,226.0,When you guys planning on coming over?,Non-Spam
226,227.0,No go. No openings for that room 'til after thanksgiving without an upcharge.,Non-Spam
228,229.0,And of course you should make a stink!,Non-Spam
229,230.0,Are u awake? Is there snow there?,Non-Spam
230,231.0,You'd like that wouldn't you? Jerk!,Non-Spam
231,232.0,So when do you wanna gym?,Non-Spam
232,233.0,My birthday is on feb  &lt;#&gt;  da. .,Non-Spam
233,234.0,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,Non-Spam
234,235.0,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,Non-Spam
235,236.0,"Garbage bags, eggs, jam, bread, hannaford wheat chex",Non-Spam
236,237.0,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Non-Spam
237,238.0,I think steyn surely get one wicket:),Non-Spam
238,239.0,X course it 2yrs. Just so her messages on messenger lik you r sending me,Non-Spam
239,240.0,Dude im no longer a pisces. Im an aquarius now.,Non-Spam
240,241.0,"Sir, waiting for your letter.",Non-Spam
241,242.0,Sweet heart how are you?,Non-Spam
242,243.0,Wishing you a wonderful week.,Non-Spam
243,244.0,What makes you most happy?,Non-Spam
244,245.0,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Non-Spam
245,246.0,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",Non-Spam
246,247.0,Aah bless! How's your arm?,Non-Spam
247,248.0,"Thanks, I'll keep that in mind",Non-Spam
248,249.0,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,Non-Spam
249,250.0,But we havent got da topic yet rite?,Non-Spam
250,251.0,Kothi print out marandratha.,Non-Spam
251,252.0,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",Non-Spam
252,253.0,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",Non-Spam
253,254.0,Jus finish watching tv... U?,Non-Spam
254,255.0,Hahaha..use your brain dear,Non-Spam
256,257.0,My sister going to earn more than me da.,Non-Spam
257,258.0,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Non-Spam
258,259.0,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Non-Spam
259,260.0,"yeah, that's what I was thinking",Non-Spam
260,261.0,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Non-Spam
261,262.0,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Non-Spam
262,263.0,What you did in  leave.,Non-Spam
263,264.0,Ill be at yours in about 3 mins but look out for me,Non-Spam
264,265.0,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,Non-Spam
265,266.0,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Non-Spam
266,267.0,"I can. But it will tell quite long, cos i haven't finish my film yet...",Non-Spam
267,268.0,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,Non-Spam
268,269.0,At WHAT TIME should i come tomorrow,Non-Spam
269,270.0,I can't make it tonight,Non-Spam
270,271.0,Well good morning mr . Hows london treatin' ya treacle?,Non-Spam
271,272.0,I.ll hand her my phone to chat wit u,Non-Spam
272,273.0,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Non-Spam
273,274.0,Are u coming to the funeral home,Non-Spam
274,275.0,Alex says he's not ok with you not being ok with it,Non-Spam
276,277.0,I donno its in your genes or something,Non-Spam
278,279.0,Xy trying smth now. U eat already? We havent...,Non-Spam
279,280.0,Dear where you. Call me,Non-Spam
280,281.0,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,Non-Spam
281,282.0,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Non-Spam
282,283.0,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Non-Spam
283,284.0,I'm still pretty weak today .. Bad day ?,Non-Spam
285,286.0,Sent me ur email id soon,Non-Spam
286,287.0,"Yeah, probably here for a while",Non-Spam
287,288.0,I have gone into get info bt dont know what to do,Non-Spam
288,289.0,"And how you will do that, princess? :)",Non-Spam
289,290.0,"Vikky, come around  &lt;TIME&gt; ..",Non-Spam
290,291.0,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",Non-Spam
292,293.0,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Non-Spam
293,294.0,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,Non-Spam
294,295.0,Oh yeah clearly it's my fault,Non-Spam
295,296.0,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",Non-Spam
296,297.0,Its too late:)but its k.wish you the same.,Non-Spam
297,298.0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Non-Spam
298,299.0,So u wan 2 come for our dinner tonight a not?,Non-Spam
299,300.0,Did u fix the teeth?if not do it asap.ok take care.,Non-Spam
301,302.0,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",Non-Spam
302,303.0,Anything lar then ü not going home 4 dinner?,Non-Spam
303,304.0,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Non-Spam
304,305.0,Gud ni8.swt drms.take care,Non-Spam
305,306.0,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",Non-Spam
306,307.0,Pls speak with me. I wont ask anything other then you friendship.,Non-Spam
307,308.0,Did you see that film:),Non-Spam
308,309.0,I absolutely LOVE South Park! I only recently started watching the office.,Non-Spam
309,310.0,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Non-Spam
310,311.0,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Non-Spam
311,312.0,1 in cbe. 2 in chennai.,Non-Spam
312,313.0,"As usual..iam fine, happy &amp; doing well..:)",Non-Spam
313,314.0,Well she's in for a big surprise!,Non-Spam
314,315.0,Ok... Sweet dreams...,Non-Spam
315,316.0,I didnt get anything da,Non-Spam
316,317.0,Please tell me not all of my car keys are in your purse,Non-Spam
317,318.0,You do your studies alone without anyones help. If you cant no need to study.,Non-Spam
318,319.0,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Non-Spam
320,321.0,"K I'm leaving soon, be there a little after 9",Non-Spam
321,322.0,U come n search tat vid..not finishd..,Non-Spam
322,323.0,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam
323,324.0,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Non-Spam
324,325.0,Thank you princess! I want to see your nice juicy booty...,Non-Spam
325,326.0,thanks for the temales it was wonderful. Thank. Have a great week.,Non-Spam
326,327.0,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Non-Spam
327,328.0,Hmm thinking lor...,Non-Spam
328,329.0,Its a part of checking IQ,Non-Spam
329,330.0,"Gud gud..k, chikku tke care.. sleep well gud nyt",Non-Spam
330,331.0,"Jay wants to work out first, how's 4 sound?",Non-Spam
331,332.0,Yeah I can still give you a ride,Non-Spam
333,334.0,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Non-Spam
334,335.0,Ok cool. See ya then.,Non-Spam
335,336.0,Hey what how about your project. Started aha da.,Non-Spam
337,338.0,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,Non-Spam
338,339.0,"Nope, I'm still in the market",Non-Spam
339,340.0,It means u could not keep ur words.,Non-Spam
341,342.0,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam
342,343.0,Prabha..i'm soryda..realy..frm heart i'm sory,Non-Spam
343,344.0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Non-Spam
344,345.0,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,Non-Spam
345,346.0,If I die I want u to have all my stuffs.,Non-Spam
346,347.0,5 nights...We nt staying at port step liao...Too ex,Non-Spam
347,348.0,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Non-Spam
348,349.0,I have to take exam with in march 3,Non-Spam
349,350.0,Pls she needs to dat slowly or she will vomit more.,Non-Spam
350,351.0,I accidentally brought em home in the box,Non-Spam
351,352.0,Well thats nice. Too bad i cant eat it,Non-Spam
352,353.0,I am late. I will be there at,Non-Spam
353,354.0,I keep ten rs in my shelf:) buy two egg.,Non-Spam
355,356.0,3 pa but not selected.,Non-Spam
356,357.0,K.k.how is your business now?,Non-Spam
357,358.0,It is only yesterday true true.,Non-Spam
358,359.0,Dai i downloaded but there is only exe file which i can only run that exe after installing.,Non-Spam
359,360.0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam
360,361.0,Hi.what you think about match?,Non-Spam
361,362.0,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",Non-Spam
362,363.0,I will reach ur home in  &lt;#&gt;  minutes,Non-Spam
364,365.0,How come she can get it? Should b quite diff to guess rite...,Non-Spam
365,366.0,Me fine..absolutly fine,Non-Spam
366,367.0,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Non-Spam
369,370.0,Ugh my leg hurts. Musta overdid it on mon.,Non-Spam
370,371.0,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,Non-Spam
371,372.0,I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..,Non-Spam
373,374.0,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Non-Spam
374,375.0,Ok... Take ur time n enjoy ur dinner...,Non-Spam
375,376.0,"It's wylie, you in tampa or sarasota?",Non-Spam
376,377.0,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Non-Spam
377,378.0,"Sorry, I'll call later",Non-Spam
380,381.0,Okie,Non-Spam
381,382.0,WHAT TIME U WRKIN?,Non-Spam
382,383.0,I uploaded mine to Facebook,Non-Spam
383,384.0,I just cooked a rather nice salmon a la you,Non-Spam
384,385.0,I'm in town now so i'll jus take mrt down later.,Non-Spam
385,386.0,"Fuuuuck I need to stop sleepin, sup",Non-Spam
386,387.0,I sent them. Do you like?,Non-Spam
387,388.0,K sure am in my relatives home. Sms me de. Pls:-),Non-Spam
388,389.0,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Non-Spam
389,390.0,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Non-Spam
